2021-08-01_20-36-18 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.7.Final
2021-08-01_20-36-18 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1310 ms
2021-08-01_20-36-18 [restartedMain] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
2021-08-01_20-36-18 [restartedMain] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2021-08-01_20-36-51 [restartedMain] INFO  c.c.p.d.PensionDisbursementMicroserviceApplication - Starting PensionDisbursementMicroserviceApplication using Java 15.0.2 on ROG with PID 10176 (D:\Cognizant\MFPE\Pension-Management\Pension-Management\PensionDisbursement-Microservice\target\classes started by Asus in D:\Cognizant\MFPE\Pension-Management\Pension-Management\PensionDisbursement-Microservice)
2021-08-01_20-36-51 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.7.Final
2021-08-01_20-36-51 [restartedMain] INFO  c.c.p.d.PensionDisbursementMicroserviceApplication - No active profile set, falling back to default profiles: default
2021-08-01_20-36-51 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-08-01_20-36-51 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-08-01_20-36-51 [restartedMain] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=f08b8438-d04e-3f3f-8a71-963c174c9a2a
2021-08-01_20-36-51 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.cts.pension.disbursement.feignclient.AuthorisingClient' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-08-01_20-36-51 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.cts.pension.disbursement.feignclient.PensionDisbursementFeignClient' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-08-01_20-36-51 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8300 (http)
2021-08-01_20-36-51 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8300"]
2021-08-01_20-36-51 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-08-01_20-36-51 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
2021-08-01_20-36-51 [restartedMain] INFO  o.a.c.c.C.[.[.[/disbursement] - Initializing Spring embedded WebApplicationContext
2021-08-01_20-36-51 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1331 ms
2021-08-01_20-36-51 [restartedMain] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
2021-08-01_20-36-51 [restartedMain] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2021-08-01_20-41-03 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.7.Final
2021-08-01_20-41-03 [restartedMain] INFO  c.c.p.d.PensionDisbursementMicroserviceApplication - Starting PensionDisbursementMicroserviceApplication using Java 15.0.2 on ROG with PID 12804 (D:\Cognizant\MFPE\Pension-Management\Pension-Management\PensionDisbursement-Microservice\target\classes started by Asus in D:\Cognizant\MFPE\Pension-Management\Pension-Management\PensionDisbursement-Microservice)
2021-08-01_20-41-03 [restartedMain] INFO  c.c.p.d.PensionDisbursementMicroserviceApplication - No active profile set, falling back to default profiles: default
2021-08-01_20-41-03 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-08-01_20-41-03 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-08-01_20-41-03 [restartedMain] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=056856ee-74d0-3797-87be-1f8f681a3444
2021-08-01_20-41-03 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.cts.pension.disbursement.feignclient.AuthorisingClient' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-08-01_20-41-03 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.cts.pension.disbursement.feignclient.PensionDisbursementFeignClient' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-08-01_20-41-03 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8300 (http)
2021-08-01_20-41-03 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8300"]
2021-08-01_20-41-03 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-08-01_20-41-03 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
2021-08-01_20-41-03 [restartedMain] INFO  o.a.c.c.C.[.[.[/disbursement] - Initializing Spring embedded WebApplicationContext
2021-08-01_20-41-03 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1912 ms
2021-08-01_20-41-03 [restartedMain] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
2021-08-01_20-41-03 [restartedMain] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
